brand,brand_slug,model,model_slug,default_category,default_engine_cc,fuel_type,model_status,market_origins,status
Bajaj,bajaj,Avenger 150,avenger-150,Classic Bikes,150,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Avenger 160,avenger-160,Classic Bikes,160,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Avenger 180,avenger-180,Classic Bikes,180,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Avenger 220,avenger-220,Classic Bikes,220,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Avenger 220 Cruise,avenger-220-cruise,Classic Bikes,220,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Avenger 220 Street,avenger-220-street,Classic Bikes,220,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Boxer,boxer,Commuter,100,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Boxer CT,boxer-ct,Commuter,100,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Caliber,caliber,Commuter,115,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,CT100,ct100,Commuter,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,CT100 ES,ct100-es,Commuter,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,CT110,ct110,Commuter,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,CT110X,ct110x,Commuter,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,CT125X,ct125x,Commuter,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Discover 100,discover-100,Commuter,100,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Discover 110,discover-110,Commuter,110,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Discover 125,discover-125,Classic Bikes,125,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Discover 125 Disc,discover-125-disc,Classic Bikes,125,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Discover 135,discover-135,Commuter,135,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Discover 150,discover-150,Commuter,150,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Dominar 250,dominar-250,High Capacity Bikes,250,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Dominar 400,dominar-400,High Capacity Bikes,400,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Freedom 125,freedom-125,Street Bikes,125,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Platina 100,platina-100,Commuter,100,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Platina 110,platina-110,Commuter,110,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar 125,pulsar-125,Classic Bikes,125,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar 135 LS,pulsar-135-ls,Street Bikes,135,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar 150,pulsar-150,Street Bikes,150,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar 180,pulsar-180,Street Bikes,180,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar 200,pulsar-200,Street Bikes,200,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar 220F,pulsar-220f,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar N125,pulsar-n125,Street Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar N150,pulsar-n150,Street Bikes,50,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar N160,pulsar-n160,Street Bikes,60,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar N250,pulsar-n250,Street Bikes,50,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar NS125,pulsar-ns125,Street Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar NS160,pulsar-ns160,Street Bikes,60,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar NS200,pulsar-ns200,Street Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar NS400Z,pulsar-ns400z,Street Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,Pulsar RS200,pulsar-rs200,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,V12,v12,Classic Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,V15,v15,Classic Bikes,,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,XCD 125,xcd-125,Commuter,125,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Bajaj,bajaj,XCD 135,xcd-135,Commuter,135,Petrol,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Benda,benda,Chinchilla 300,chinchilla-300,Street Bikes,300,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benda,benda,LFC700,lfc700,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benda,benda,Napoleon Bob 500,napoleon-bob-500,Street Bikes,500,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,302R,302r,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,502C,502c,Street Bikes,50,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,752S,752s,Street Bikes,75,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,Imperiale 400,imperiale-400,Classic Bikes,400,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,Leoncino 250,leoncino-250,Classic Bikes,250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,Leoncino 500,leoncino-500,Classic Bikes,500,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,Leoncino 500 Trail,leoncino-500-trail,Trail Bikes,500,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TNT 25,tnt-25,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TNT 250,tnt-250,Street Bikes,250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TNT 300,tnt-300,Street Bikes,300,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TNT 302S,tnt-302s,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TNT 600GT,tnt-600gt,Street Bikes,60,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TNT 600i,tnt-600i,Street Bikes,60,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TRK 251,trk-251,Trail Bikes,251,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TRK 502,trk-502,Trail Bikes,502,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Benelli,benelli,TRK 502X,trk-502x,Trail Bikes,50,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 125,rr-125,Trail Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 200,rr-200,Trail Bikes,200,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 250,rr-250,Trail Bikes,250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 300,rr-300,Trail Bikes,300,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 350,rr-350,Trail Bikes,350,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 390,rr-390,Trail Bikes,390,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 430,rr-430,Trail Bikes,430,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Beta,beta,RR 480,rr-480,Trail Bikes,480,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,C 400 GT,c-400-gt,Street Bikes,400,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,CE 02,ce-02,Electric Bikes,,Electric,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,CE 04,ce-04,Electric Bikes,,Electric,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 450 GS,f-450-gs,Trail Bikes,450,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 750 GS,f-750-gs,Trail Bikes,750,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 800 GS,f-800-gs,Trail Bikes,800,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 850 GS,f-850-gs,Trail Bikes,850,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 900 GS,f-900-gs,Trail Bikes,900,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 900 GS Adventure,f-900-gs-adventure,Trail Bikes,900,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 900 R,f-900-r,Street Bikes,900,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,F 900 XR,f-900-xr,Trail Bikes,900,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,G 310 GS,g-310-gs,Trail Bikes,310,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,G 310 R,g-310-r,Street Bikes,310,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,G 310 RR,g-310-rr,High Capacity Bikes,310,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,K 1600 B,k-1600-b,Street Bikes,1600,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,K 1600 GT,k-1600-gt,Street Bikes,1600,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,K 1600 GTL,k-1600-gtl,Street Bikes,1600,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,M 1000 R,m-1000-r,High Capacity Bikes,1000,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,M 1000 RR,m-1000-rr,High Capacity Bikes,1000,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,M 1000 XR,m-1000-xr,Trail Bikes,1000,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,R 12,r-12,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,R 12 nineT,r-12-ninet,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,R 1250 GS,r-1250-gs,Trail Bikes,1250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,R 1250 GS Adventure,r-1250-gs-adventure,Trail Bikes,1250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,R 1300 GS,r-1300-gs,Trail Bikes,1300,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,R 1300 GS Adventure,r-1300-gs-adventure,Trail Bikes,1300,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,R nineT,r-ninet,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,S 1000 R,s-1000-r,High Capacity Bikes,1000,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,S 1000 RR,s-1000-rr,High Capacity Bikes,1000,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
BMW Motorrad,bmw-motorrad,S 1000 XR,s-1000-xr,Trail Bikes,1000,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,1000MT-X,1000mt-x,Street Bikes,100,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,1250TR-G,1250tr-g,Street Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,125AURA,125aura,Scooters,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,125NK,125nk,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,150AURA,150aura,Scooters,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,150NK,150nk,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,150SC,150sc,Scooters,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,150SR,150sr,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,250CL-C,250cl-c,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,250NK,250nk,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,250SR,250sr,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,300CL-X,300cl-x,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,300NK,300nk,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,300SR,300sr,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,400NK,400nk,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,450CL-C,450cl-c,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,450MT,450mt,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,450NK,450nk,Street Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,450SR,450sr,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,450SR-S,450sr-s,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,500SR,500sr,High Capacity Bikes,50,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,500SR VOOM,500sr-voom,High Capacity Bikes,50,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,550CL-C,550cl-c,Classic Bikes,55,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,650MT,650mt,Street Bikes,65,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,650NK,650nk,Street Bikes,65,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,675NK,675nk,Street Bikes,67,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,675SR-R,675sr-r,High Capacity Bikes,67,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,700CL-X,700cl-x,Classic Bikes,70,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,700MT,700mt,Street Bikes,70,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,750SR-S,750sr-s,High Capacity Bikes,75,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,800MT,800mt,Street Bikes,80,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,800MT Explore,800mt-explore,Street Bikes,80,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,800MT-X,800mt-x,Street Bikes,80,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,800NK,800nk,Street Bikes,80,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,Papio,papio,Street Bikes,126,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
CFMOTO,cfmoto,Papio XO,papio-xo,Classic Bikes,126,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Diavel,diavel,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Diavel V4,diavel-v4,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Hypermotard 698,hypermotard-698,Trail Bikes,698,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Hypermotard 950,hypermotard-950,Trail Bikes,950,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Monster,monster,Street Bikes,937,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Monster 1200,monster-1200,Classic Bikes,1200,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Monster 696,monster-696,Street Bikes,696,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Monster 797,monster-797,Street Bikes,797,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Monster 821,monster-821,Street Bikes,821,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Monster 937,monster-937,Street Bikes,937,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Multistrada V2,multistrada-v2,Trail Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Multistrada V4,multistrada-v4,Trail Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Panigale V2,panigale-v2,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Panigale V4,panigale-v4,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Scrambler Full Throttle,scrambler-full-throttle,Trail Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Scrambler Icon,scrambler-icon,Trail Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Scrambler Nightshift,scrambler-nightshift,Trail Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Streetfighter V2,streetfighter-v2,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,Streetfighter V4,streetfighter-v4,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ducati,ducati,XDiavel,xdiavel,High Capacity Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
GasGas,gasgas,EC 250,ec-250,Trail Bikes,250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
GasGas,gasgas,EC 300,ec-300,Trail Bikes,300,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
GasGas,gasgas,ES 700,es-700,Trail Bikes,700,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
GasGas,gasgas,MC 125,mc-125,Trail Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
GasGas,gasgas,MC 250,mc-250,Trail Bikes,250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
GasGas,gasgas,MC 450F,mc-450f,Trail Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
GasGas,gasgas,SM 700,sm-700,Street Bikes,700,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Harley-Davidson,harley-davidson,Breakout,breakout,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Harley-Davidson,harley-davidson,Fat Bob,fat-bob,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Harley-Davidson,harley-davidson,Fat Boy,fat-boy,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Harley-Davidson,harley-davidson,Forty-Eight,forty-eight,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Harley-Davidson,harley-davidson,Iron 883,iron-883,Classic Bikes,883,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Harley-Davidson,harley-davidson,Low Rider,low-rider,Classic Bikes,,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
